restaurant_id,restaurant_name,neighborhood,website,candidate_id,thumbnail_url,source_url,source_kind,source_host,image_host,source_host_validation,review_state,promotion_review_state,rights_status,quality_flags,recommended_action
osm-node-5125389651-baton-rouge,Baton Rouge,Waterfront,,thumb-8c66cc939d7ec341a2,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106467_menu_photo_53eb7f6f-ce47-498b-8977-9f1a838f5828.jpg,https://discoverhalifaxns.com/dinearound/menu/baton-rouge-halifax-dine-around-2026/?menu=3-course-menu,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-11752691591-bramble-cafe,Bramble Cafe,North End,https://www.instagram.com/bramble.hfx,thumb-8ed026fd759027d015,https://static.cdninstagram.com/rsrc.php/yr/r/rzWiSjZRxk5.webp,https://www.instagram.com/bramble.hfx,official_page_thumbnail_candidate,instagram.com,static.cdninstagram.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,"confirm first-party page/image provenance, then visually review"
osm-node-12984673749-cannery-kitchen-and-social,Cannery Kitchen & Social,Downtown,,thumb-a00cd87809a7cc9a2c,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106779_menu_photo_a671a842-6e6c-4eaa-b0ea-8cfb63713d58.jpg,https://discoverhalifaxns.com/dinearound/menu/the-hollis-hotel-the-cannery-kitchen-social-dine-around-2026/?menu=cannery-kitchen-social-hollis-dine-around-2026,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-2715382299-cheese-curds-and-habaneros,Cheese Curds and Habaneros,Armdale / Fairview,https://cheesecurdsgourmetburgersandpoutinerie.unuhub.net/,thumb-bcb484fdc91040f7ea,https://ucarecdn.com/3d2f8742-1253-430e-8992-3a7eda197f63/-/format/auto/-/progressive/yes/UnuHub_Cheesecurds_Banner.jpg,https://cheesecurdsgourmetburgersandpoutinerie.unuhub.net/,official_page_thumbnail_candidate,cheesecurdsgourmetburgersandpoutinerie.unuhub.net,ucarecdn.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,"confirm first-party page/image provenance, then visually review"
osm-node-10916309830-darya,Daryâ,Downtown,,thumb-5475cab862cbd5e984,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106838_menu_photo_7e1e6fc7-2e44-4032-bbd9-5a8652508088-773x1030.jpe,https://discoverhalifaxns.com/dinearound/menu/darya-dine-around-2026/?menu=lunch-30,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-10916309833-drift,Drift,Downtown,,thumb-d5c90aa803a2d131e9,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106842_menu_photo_a3bae9e5-79a8-404b-ae64-3b547aa0a145.jpg,https://discoverhalifaxns.com/dinearound/menu/drift-dine-around-2026/?menu=lunch-30,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-37132569-economy-shoe-shop,Economy Shoe Shop,Downtown,,thumb-d7385e0b95bdad7c48,https://discoverhalifaxns.com/wp-content/uploads/2026/01/107285_menu_photo_73dec1db-e522-4413-95e9-086024b0a4fd.jpg,https://discoverhalifaxns.com/dinearound/menu/economy-shoe-shop-dine-around-menu/?menu=economy-chopped-cheese,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-1139389702-five-fishermen,Five Fishermen,Downtown,,thumb-fd10c4b7901aa43019,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106515_menu_photo_9194743e-3191-4214-b46d-ea565c59af5c.jpg,https://discoverhalifaxns.com/dinearound/menu/5-fishermen-restaurant-dine-around-menu/?menu=winters-harvest,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-7674194896-gahan-house,Gahan House,Downtown,https://gahan.ca,thumb-8f26e75501e0440aa1,https://discoverhalifaxns.com/wp-content/uploads/2026/01/106856_menu_photo_1d114699-4283-448b-a6ac-a4c566fccfc8.jpg,https://discoverhalifaxns.com/dinearound/menu/gahan-house-nova-centre-dine-around-menu/?menu=cajun-chicken-burrito-bowl-dessert,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-1139389557-gio,Gio,Downtown,,thumb-72131eb8587de10ef1,https://discoverhalifaxns.com/wp-content/uploads/2025/01/97945_menu_photo_83b76a68-62c0-419c-a5de-4a69c89c3c89-687x1030.jpg,https://discoverhalifaxns.com/dinearound/menu/gio-restaurant-dine-around-menu/?menu=gio-dine-around-3-course-60,public_campaign_menu_image,discoverhalifaxns.com,discoverhalifaxns.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,confirm source rights/provenance before promotion
osm-node-4416774495-glitter-bean-cafe,Glitter Bean Cafe,South End,https://www.glitterbeancafe.com/,thumb-9f2659ab75c2c775ea,https://justitalymentone.com/Images/banners/home/DesktopID-866-20250925164835.png,https://justitalymentone.com/,official_page_thumbnail_candidate,justitalymentone.com,justitalymentone.com,,rejected,low_quality_metadata,rejected,reviewed_rejected_unrelated_or_wrong_source_host,"confirm first-party page/image provenance, then visually review"
osm-node-11239721834-humble-pie-kitchen,Humble Pie Kitchen,Dartmouth,https://humblepiekitchen.ca/,thumb-c76dc2b18fdc3bee5d,https://humblepiekitchen.ca/pie-menu/r,https://humblepiekitchen.ca/pie-menu/,official_page_thumbnail_candidate,humblepiekitchen.ca,humblepiekitchen.ca,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,"confirm first-party page/image provenance, then visually review"
osm-node-12410003853-jacky-s-cafe,Jacky's Cafe,South End,https://jackyscafehalifax.com/,thumb-f5ca3dda03e077e241,https://cdn3.didevelop.com/public/cdn/300_a9694132d471ba8368d97b6dc34e5ae3.jpg,https://jackyscafehalifax.com/,official_page_thumbnail_candidate,jackyscafehalifax.com,cdn3.didevelop.com,,source_check,source_check,requires_rights_review,reviewed_needs_source_check,"confirm first-party page/image provenance, then visually review"
